study_name	primer_name	initial_fwd_trim	initial_rev_trim	asv_fasta_path	asv_counts_path	taxonomy_path	metadata_path	metadata_variable	metadata_value
PRJEB22038_PE	341F_805R	0	0	/path/to/data/PRJEB22038_PE_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB22038_PE_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB22038_PE_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB22038_PE_seqtab/metadata.tsv		
PRJEB25224	515F-Y_926R	0	0	/path/to/data/PRJEB25224_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB25224_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB25224_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB25224_seqtab/metadata.tsv		
PRJEB27168_Galapagos	341F_805R	0	0	/path/to/data/PRJEB27168_Galapagos_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB27168_Galapagos_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB27168_Galapagos_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB27168_Galapagos_seqtab/metadata.tsv		
PRJEB36282	515F-Y_926R	0	0	/path/to/data/PRJEB36282_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB36282_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB36282_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB36282_seqtab/metadata.tsv		
PRJEB42499	515F_806R	0	0	/path/to/data/PRJEB42499_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB42499_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB42499_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB42499_seqtab/metadata.tsv		
PRJEB50983	515F-Y_926R	0	0	/path/to/data/PRJEB50983_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB50983_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB50983_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB50983_seqtab/metadata.tsv		
PRJEB52328	515F-Y_926R	0	0	/path/to/data/PRJEB52328/seqtab_nochim.fasta	/path/to/data/PRJEB52328/seqtab_nochim.formated.tsv	/path/to/data/PRJEB52328/taxonomy_clean.tsv	/path/to/data/PRJEB52328/metadata.tsv		
PRJEB90443	515F-Y_926R	0	0	/path/to/data/PRJEB90443_seqtab/seqtab_nochim.fasta	/path/to/data/PRJEB90443_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJEB90443_seqtab/taxonomy_clean.tsv	/path/to/data/PRJEB90443_seqtab/metadata.tsv		
PRJNA263621_NH	515F_806R	0	0	/path/to/data/PRJNA263621_NH_seqtab/seqtab_nochim.fasta	/path/to/data/PRJNA263621_NH_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJNA263621_NH_seqtab/taxonomy_clean.tsv	/path/to/data/PRJNA263621_NH_seqtab/metadata.tsv		
PRJNA664813_MEX	341F_805R	0	0	/path/to/data/PRJNA664813_MEX_seqtab/seqtab_nochim.fasta	/path/to/data/PRJNA664813_MEX_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJNA664813_MEX_seqtab/taxonomy_clean.tsv	/path/to/data/PRJNA664813_MEX_seqtab/metadata.tsv		
PRJNA734169_SAO	515F_806R	0	0	/path/to/data/PRJNA734169_SAO_seqtab/seqtab_nochim.fasta	/path/to/data/PRJNA734169_SAO_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJNA734169_SAO_seqtab/taxonomy_clean.tsv	/path/to/data/PRJNA734169_SAO_seqtab/metadata.tsv		
PRJNA780024_Maz_MEX	341F_805R	0	0	/path/to/data/PRJNA780024_Maz_MEX_seqtab/seqtab_nochim.fasta	/path/to/data/PRJNA780024_Maz_MEX_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJNA780024_Maz_MEX_seqtab/taxonomy_clean.tsv	/path/to/data/PRJNA780024_Maz_MEX_seqtab/metadata.tsv		
PRJNA903199_PE	515F_806R	0	0	/path/to/data/PRJNA903199_PE_seqtab/seqtab_nochim.fasta	/path/to/data/PRJNA903199_PE_seqtab/seqtab_nochim.formated.tsv	/path/to/data/PRJNA903199_PE_seqtab/taxonomy_clean.tsv	/path/to/data/PRJNA903199_PE_seqtab/metadata.tsv		
